IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.87.84,34237,2096,true,TPE,Asia Pacific,Taipei,52,24.37
141.11.87.208,34237,2096,true,TPE,Asia Pacific,Taipei,55,24.35
141.11.87.96,34237,2096,true,TPE,Asia Pacific,Taipei,85,24.17
141.11.87.188,34237,2096,true,TPE,Asia Pacific,Taipei,60,23.75
154.16.55.129,443,443,true,NRT,Asia Pacific,Tokyo,67,23.56
141.11.87.105,34237,2096,true,TPE,Asia Pacific,Taipei,81,23.02
82.152.90.111,443,443,true,TPE,Asia Pacific,Taipei,86,22.99
141.11.87.84,34237,2096,true,TPE,Asia Pacific,Taipei,52,22.96
141.11.86.86,34237,2096,true,TPE,Asia Pacific,Taipei,58,22.23
141.11.86.109,53297,443,true,KIX,Asia Pacific,Osaka,56,21.15
141.11.87.20,443,443,true,KIX,Asia Pacific,Osaka,80,20.39
89.213.40.157,456,443,true,LHR,Europe,London,215,11.12
141.11.175.14,29857,443,true,HKG,Asia Pacific,Hong Kong,165,10.36
23.158.136.216,20232,443,true,LAX,North America,Los Angeles,187,9.84
23.158.136.38,56725,443,true,LAX,North America,Los Angeles,192,9.00
23.158.136.81,25864,443,true,LAX,North America,Los Angeles,195,8.97
23.158.136.11,33724,443,true,LAX,North America,Los Angeles,188,8.85
103.75.70.101,29513,443,true,NRT,Asia Pacific,Tokyo,111,8.63
89.213.40.84,34237,2096,true,LHR,Europe,London,188,7.80
166.0.188.233,443,443,true,LAX,North America,Los Angeles,179,6.97
103.232.213.26,57610,443,true,NRT,Asia Pacific,Tokyo,77,6.41
23.158.136.27,18566,443,true,LAX,North America,Los Angeles,195,6.33
38.207.130.33,50045,443,true,NRT,Asia Pacific,Tokyo,114,6.00
23.158.136.28,33670,443,true,LAX,North America,Los Angeles,205,5.42
82.153.65.62,6666,443,true,NRT,Asia Pacific,Tokyo,164,2.39
166.0.188.128,43745,443,true,LAX,North America,Los Angeles,210,1.86
166.0.188.128,56825,443,true,LAX,North America,Los Angeles,213,1.63
166.0.188.128,16131,443,true,LAX,North America,Los Angeles,211,1.61
141.11.91.205,18836,443,true,HKG,Asia Pacific,Hong Kong,56,1.61
166.0.188.128,31807,443,true,LAX,North America,Los Angeles,216,1.61
