IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
166.0.188.128,39097,443,true,LAX,North America,Los Angeles,218,1.39
178.253.32.28,2024,443,true,HKG,Asia Pacific,Hong Kong,40,1.37
166.0.188.128,40145,443,true,LAX,North America,Los Angeles,219,1.34
166.0.188.128,42481,443,true,LAX,North America,Los Angeles,212,1.33
213.218.254.248,8443,443,true,NRT,Asia Pacific,Tokyo,184,1.25
166.0.188.128,30765,443,true,LAX,North America,Los Angeles,178,1.24
166.0.188.128,32315,443,true,LAX,North America,Los Angeles,179,1.22
166.0.188.128,56268,443,true,LAX,North America,Los Angeles,195,1.14
166.0.188.128,29655,443,true,LAX,North America,Los Angeles,215,1.08
166.0.188.128,57183,443,true,LAX,North America,Los Angeles,211,1.04
166.0.188.79,14905,443,true,LAX,North America,Los Angeles,191,1.01
166.0.188.128,11893,443,true,LAX,North America,Los Angeles,162,0.97
166.0.188.79,40875,443,true,LAX,North America,Los Angeles,207,0.90
166.0.188.128,10143,443,true,LAX,North America,Los Angeles,202,0.89
166.0.188.128,56947,443,true,LAX,North America,Los Angeles,187,0.88
166.0.188.128,19027,443,true,LAX,North America,Los Angeles,248,0.75
166.0.188.79,16129,443,true,LAX,North America,Los Angeles,204,0.63
166.0.188.79,25195,443,true,LAX,North America,Los Angeles,205,0.58
154.16.248.242,29653,443,true,NRT,Asia Pacific,Tokyo,132,0.58
166.0.188.79,54824,443,true,LAX,North America,Los Angeles,269,0.56
166.0.188.79,18089,443,true,LAX,North America,Los Angeles,210,0.53
166.0.188.79,31131,443,true,LAX,North America,Los Angeles,205,0.51
166.0.188.79,56740,443,true,LAX,North America,Los Angeles,211,0.51
166.0.188.79,10285,443,true,LAX,North America,Los Angeles,210,0.50
166.0.188.79,58732,443,true,LAX,North America,Los Angeles,222,0.49
166.0.188.79,32772,443,true,LAX,North America,Los Angeles,213,0.45
166.0.188.79,36806,443,true,LAX,North America,Los Angeles,207,0.45
166.0.188.79,46185,443,true,LAX,North America,Los Angeles,216,0.44
166.0.188.79,51321,443,true,LAX,North America,Los Angeles,245,0.44
166.0.188.79,18225,443,true,LAX,North America,Los Angeles,191,0.44
166.0.188.79,17582,443,true,LAX,North America,Los Angeles,225,0.42
166.0.188.79,46484,443,true,LAX,North America,Los Angeles,210,0.37
166.0.188.79,22586,443,true,LAX,North America,Los Angeles,212,0.36
141.11.86.143,31268,443,true,FRA,Europe,Frankfurt,313,0.27
166.0.188.79,48675,443,true,LAX,North America,Los Angeles,218,0.21
141.11.78.215,31126,8443,true,HKG,Asia Pacific,Hong Kong,38,0.10
141.11.87.94,31268,443,true,HKG,Asia Pacific,Hong Kong,372,0.09
141.11.91.205,18836,443,true,HKG,Asia Pacific,Hong Kong,97,0.08
141.11.87.94,31268,443,true,FRA,Europe,Frankfurt,288,0.06
91.229.132.167,31268,443,true,NRT,Asia Pacific,Tokyo,95,0.03
37.128.252.140,443,443,true,HKG,Asia Pacific,Hong Kong,60,0.02
185.81.29.98,49999,80,false,SIN,Asia Pacific,Singapore,14,0.00
5.253.36.101,2080,80,false,SIN,Asia Pacific,Singapore,16,0.00
103.255.208.101,58582,443,true,HKG,Asia Pacific,Hong Kong,57,0.00
141.11.90.152,34052,443,true,HKG,Asia Pacific,Hong Kong,59,0.00
166.0.188.128,20617,443,true,LAX,North America,Los Angeles,199,0.00
166.0.188.152,8081,8080,false,LAX,North America,Los Angeles,245,0.00
