IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.21.89.73,27629,443,true,LAX,North America,Los Angeles,181,10.66
65.75.192.67,42930,443,true,SJC,North America,San Jose,219,10.64
154.21.85.152,13277,443,true,LAX,North America,Los Angeles,213,10.64
154.17.19.18,37078,443,true,LAX,North America,Los Angeles,182,10.62
154.21.80.55,13171,443,true,LAX,North America,Los Angeles,168,10.59
154.17.23.94,443,443,true,LAX,North America,Los Angeles,166,10.58
154.21.93.36,53086,443,true,LAX,North America,Los Angeles,215,10.54
154.17.227.95,43790,443,true,LAX,North America,Los Angeles,205,10.46
174.136.206.70,17885,443,true,SJC,North America,San Jose,163,10.44
154.21.84.88,51525,443,true,LAX,North America,Los Angeles,201,10.42
154.21.93.124,14280,443,true,LAX,North America,Los Angeles,179,10.40
136.175.177.2,50990,443,true,SJC,North America,San Jose,172,10.40
154.17.12.190,443,443,true,LAX,North America,Los Angeles,202,10.39
154.17.231.85,30816,443,true,LAX,North America,Los Angeles,169,10.39
154.17.23.14,45929,443,true,LAX,North America,Los Angeles,169,10.33
154.17.10.2,14257,443,true,LAX,North America,Los Angeles,177,10.33
154.17.30.48,55558,443,true,LAX,North America,Los Angeles,183,10.32
154.21.87.116,23215,443,true,LAX,North America,Los Angeles,176,10.32
174.136.206.57,443,443,true,SJC,North America,San Jose,170,10.31
154.17.18.44,18920,443,true,LAX,North America,Los Angeles,168,10.30
45.59.185.20,443,443,true,SJC,North America,San Jose,210,10.28
154.17.23.129,13551,443,true,LAX,North America,Los Angeles,190,10.26
174.136.207.76,443,443,true,SJC,North America,San Jose,173,10.19
154.17.12.169,443,443,true,LAX,North America,Los Angeles,169,10.18
154.17.26.175,8443,443,true,LAX,North America,Los Angeles,203,10.08
154.17.20.19,44586,443,true,LAX,North America,Los Angeles,184,10.05
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,181,10.02
154.21.93.122,20180,443,true,LAX,North America,Los Angeles,188,9.98
154.17.231.6,34237,2096,true,LAX,North America,Los Angeles,176,9.97
45.59.186.16,14092,443,true,SJC,North America,San Jose,170,9.91
174.136.205.115,24378,443,true,SJC,North America,San Jose,173,9.90
45.59.184.55,443,443,true,SJC,North America,San Jose,172,9.87
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,189,9.81
154.17.2.49,26558,443,true,LAX,North America,Los Angeles,178,9.70
154.17.230.120,34799,443,true,LAX,North America,Los Angeles,192,9.64
154.21.93.36,48520,443,true,LAX,North America,Los Angeles,184,9.61
154.17.10.111,25815,443,true,LAX,North America,Los Angeles,170,9.57
154.17.230.102,50885,443,true,LAX,North America,Los Angeles,177,9.55
154.17.30.48,21213,443,true,LAX,North America,Los Angeles,190,9.55
154.17.10.2,11843,443,true,LAX,North America,Los Angeles,198,9.48
154.17.21.12,16163,443,true,LAX,North America,Los Angeles,178,9.31
65.75.192.35,22857,443,true,SJC,North America,San Jose,192,9.29
154.17.226.204,31380,443,true,LAX,North America,Los Angeles,176,9.28
154.17.10.2,19324,443,true,LAX,North America,Los Angeles,183,9.25
65.75.192.77,10180,443,true,SJC,North America,San Jose,188,9.20
154.17.10.2,34868,443,true,LAX,North America,Los Angeles,191,9.19
154.17.10.2,19865,443,true,LAX,North America,Los Angeles,194,9.11
136.175.178.13,443,443,true,SJC,North America,San Jose,209,8.99
154.21.85.152,46697,443,true,LAX,North America,Los Angeles,203,8.71
154.17.225.138,59430,443,true,SIN,Asia Pacific,Singapore,245,8.56
154.21.85.152,24757,443,true,LAX,North America,Los Angeles,184,8.28
154.17.12.26,24001,80,false,EWR,North America,Newark,175,8.19
154.17.19.18,28479,443,true,LAX,North America,Los Angeles,184,8.06
154.21.80.57,39258,443,true,LAX,North America,Los Angeles,171,7.71
65.75.195.188,19316,443,true,SJC,North America,San Jose,203,7.69
65.75.193.21,37813,443,true,SJC,North America,San Jose,185,7.35
154.17.20.7,34967,443,true,LAX,North America,Los Angeles,169,6.66
154.21.85.152,28557,443,true,LAX,North America,Los Angeles,178,6.46
154.17.21.94,13075,443,true,LAX,North America,Los Angeles,183,6.00
154.17.21.37,23391,443,true,LAX,North America,Los Angeles,175,5.81
65.75.193.21,39458,443,true,SJC,North America,San Jose,195,5.26
154.17.12.26,8444,443,true,LAX,North America,Los Angeles,208,4.54
154.17.12.26,8443,443,true,LAX,North America,Los Angeles,173,4.42
65.75.195.188,54893,443,true,SJC,North America,San Jose,173,2.64
65.75.195.188,20596,443,true,SJC,North America,San Jose,172,1.75
65.75.192.114,36394,443,true,SJC,North America,San Jose,222,0.91
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,169,0.91
154.17.5.183,54403,443,true,LAX,North America,Los Angeles,168,0.85
65.75.195.188,57584,443,true,SJC,North America,San Jose,210,0.69
65.75.195.188,50795,443,true,SJC,North America,San Jose,190,0.59
154.21.92.8,32010,443,true,LAX,North America,Los Angeles,211,0.58
154.17.7.42,35192,443,true,LAX,North America,Los Angeles,172,0.58
154.21.82.118,28602,443,true,LAX,North America,Los Angeles,176,0.52
154.17.19.203,32826,443,true,LAX,North America,Los Angeles,183,0.51
154.21.88.85,11843,443,true,LAX,North America,Los Angeles,222,0.50
65.75.195.188,16081,443,true,SJC,North America,San Jose,200,0.43
154.21.89.12,12446,443,true,LAX,North America,Los Angeles,191,0.40
65.75.194.96,23190,443,true,SJC,North America,San Jose,172,0.40
154.21.95.60,30341,443,true,LAX,North America,Los Angeles,193,0.31
174.136.206.95,57757,443,true,SJC,North America,San Jose,172,0.07
154.21.88.85,38087,443,true,LAX,North America,Los Angeles,208,0.05
154.21.83.67,13353,443,true,LAX,North America,Los Angeles,166,0.03
154.21.95.60,51420,443,true,LAX,North America,Los Angeles,185,0.02
154.21.95.60,20881,443,true,LAX,North America,Los Angeles,168,0.01
154.21.95.60,39405,443,true,LAX,North America,Los Angeles,199,0.01
154.21.95.60,20762,443,true,LAX,North America,Los Angeles,183,0.00
154.3.38.140,22387,80,false,HKG,Asia Pacific,Hong Kong,44,0.00
154.17.28.20,8092,8080,false,IAD,North America,Ashburn,162,0.00
154.17.27.25,8081,8080,false,LAX,North America,Los Angeles,166,0.00
154.17.28.20,8094,8080,false,LAX,North America,Los Angeles,169,0.00
154.17.28.20,8089,8080,false,LAX,North America,Los Angeles,169,0.00
154.17.12.26,24003,80,false,SYD,Oceania,Sydney,175,0.00
154.21.87.26,9527,80,false,LAX,North America,Los Angeles,176,0.00
154.21.83.153,8087,8080,false,LAX,North America,Los Angeles,176,0.00
154.17.28.20,7000,8080,false,LAX,North America,Los Angeles,176,0.00
154.17.28.20,17026,8080,false,LAX,North America,Los Angeles,176,0.00
154.17.28.20,8085,8080,false,LAX,North America,Los Angeles,182,0.00
154.17.28.20,8000,8080,false,LAX,North America,Los Angeles,182,0.00
154.21.83.142,22011,80,false,LAX,North America,Los Angeles,185,0.00
154.17.224.30,11946,443,true,LAX,North America,Los Angeles,190,0.00
45.59.186.136,443,443,true,SJC,North America,San Jose,198,0.00
